iter	Passed	Remaining
908	11528	1154
909	11535	1140
910	11541	1127
911	11547	1114
912	11553	1100
913	11559	1087
914	11565	1074
915	11571	1061
916	11577	1047
917	11583	1034
918	11590	1021
919	11596	1008
920	11602	995
921	11609	982
922	11615	969
923	11621	955
924	11628	942
925	11634	929
926	11641	916
927	11648	903
928	11654	890
929	11661	877
930	11668	864
931	11674	851
932	11681	838
933	11687	825
934	11694	812
935	11701	800
936	11707	787
937	11713	774
938	11720	761
939	11726	748
940	11733	735
941	11739	722
942	11745	709
943	11752	697
944	11759	684
945	11765	671
946	11771	658
947	11777	646
948	11784	633
949	11790	620
950	11795	607
951	11801	595
952	11807	582
953	11813	569
954	11819	556
955	11825	544
956	11830	531
957	11836	518
958	11842	506
959	11848	493
960	11854	481
961	11859	468
962	11865	455
963	11871	443
964	11876	430
965	11881	418
966	11886	405
967	11891	393
968	11896	380
969	11901	368
970	11906	355
971	11911	343
972	11916	330
973	11922	318
974	11928	305
975	11932	293
976	11937	281
977	11941	268
978	11953	256
979	11958	244
980	11962	231
981	11966	219
982	11970	207
983	11975	194
984	11979	182
985	11983	170
986	11987	157
987	11992	145
988	11996	133
989	12000	121
990	12005	109
991	12009	96
992	12013	84
993	12030	72
994	12034	60
995	12038	48
996	12043	36
997	12060	24
998	12063	12
999	12067	0
